Frequency_Hz,Magnitude_dB,Phase_deg
1.0,7.719247004190526,-138.72736958264264
1.023292992280754,7.781975555599794,-139.05749152442016
1.0471285480508994,7.843559152209897,-139.37644445483215
1.0715193052376062,7.904060104583072,-139.6840555143141
1.0964781961431846,7.9635417031772295,-139.98016721641827
1.1220184543019631,8.022068124239727,-140.26463756640152
1.1481536214968824,8.079704338009439,-140.53734015613725
1.174897554939529,8.136516019317527,-140.7981642383771
1.2022644346174125,8.192569460617943,-141.04701478333092
1.2302687708123812,8.247931487423383,-141.2838125204399
1.2589254117941668,8.302669376068637,-141.50849396807908
1.2882495516931336,8.356850773674122,-141.72101145375623
1.3182567385564068,8.410543620136151,-141.92133312716678
1.3489628825916533,8.46381607193014,-142.10944296823249
1.3803842646028845,8.51673642747565,-142.2853407919898
1.412537544622754,8.569373053780737,-142.4490422519112
1.445439770745927,8.621794314057583,-142.60057884294307
1.4791083881682068,8.67406849597937,-142.73999790522424
1.5135612484362075,8.726263740234131,-142.86736262912365
1.5488166189124806,8.778447969020952,-142.98275206189655
1.5848931924611127,8.830688814130452,-143.0862611159193
1.6218100973589291,8.883053544253306,-143.17800057812005
1.6595869074375598,8.935608991167983,-143.2580971198822
1.6982436524617435,8.988421474472485,-143.32669330636483
1.7378008287493745,9.04155672454393,-143.38394760386018
1.7782794100389216,9.095079803433922,-143.4300343834958
1.819700858609982,9.149055023438317,-143.46514391929782
1.862087136662866,9.203545863114083,-143.48948237835427
1.9054607179632457,9.258614880556973,-143.50327180057099
1.9498445997580438,9.314323623797696,-143.5067500652883
1.995262314968878,9.370732538223027,-143.50017084183452
2.0417379446695274,9.427900870981802,-143.48380352093855
2.0892961308540374,9.485886572390804,-143.45793312379965
2.13796208950223,9.544746194414964,-143.4228601855371
2.1877616239495503,9.604534786357169,-143.37890060970483
2.238721138568337,9.665305787955441,-143.3263854905662
2.2908676527677705,9.72711092014841,-143.26566089988157
2.3442288153199193,9.790000073832944,-143.19708763506588
2.3988329190194877,9.854021197000545,-143.12104092573247
2.4547089156850275,9.919220180698836,-143.03791009584094
2.511886431509577,9.985640744321971,-142.94809817892366
2.5703957827688604,10.053324320788716,-142.85202148416917
2.630267991895378,10.122309942214207,-142.75010911148445
2.691534803926912,10.192634126727029,-142.64280241405302
2.7542287033381627,10.264330767118892,-142.53055440733078
2.8183829312644497,10.337431022044878,-142.413829123885
2.8840315031266015,10.41196321051376,-142.29310091397105
2.951209226666381,10.487952710421574,-142.1688536922517
3.0199517204020117,10.565421861885385,-142.04158013158968
3.0902954325135856,10.644389876129544,-141.91178080537333
3.162277660168374,10.724872750661758,-141.7799632803679
3.2359365692962774,10.806883191451828,-141.64664116260045
3.3113112148259054,10.890430542792735,-141.51233309929106
3.38844156139202,10.975520725480301,-141.37756174031446
3.4673685045253104,11.062156183897319,-141.2428526631194
3.5481338923357484,11.150335842528314,-141.10873326542716
3.630780547701007,11.240055072366102,-140.9757316303844
3.7153522909717185,11.331305667599121,-140.84437536913705
3.801893963205605,11.42407583289313,-140.71519044603295
3.8904514499427987,11.51835018150058,-140.58869999183014
3.9810717055349647,11.614109744350113,-140.46542311040153
4.073802778041119,11.711331990186203,-140.34587368446998
4.168693834703346,11.809990856747607,-140.23055918588676
4.265795188015918,11.910056792893958,-140.11997949588465
4.365158322401651,12.011496811513604,-140.01462574059292
4.466835921509622,12.114274552974852,-139.91497914690692
4.570881896148741,12.218350358815872,-139.8215099235535
4.677351412871972,12.323681355309915,-139.73467617190755
4.786300923226373,12.430221546489314,-139.65492283078686
4.897788193684452,12.53792191616758,-139.58268065909934
5.011872336272712,12.646730538461707,-139.51836525984254
5.128613839913638,12.756592696288617,-139.46237614857185
5.248074602497715,12.867451007288901,-139.41509586906187
5.370317963702516,12.979245556618505,-139.37688915850504
5.495408738576233,13.091914036043601,-139.34810216421604
5.623413251903478,13.205391888775566,-139.32906171345775
5.754399373371556,13.319612459490306,-139.32007463767428
5.888436553555876,13.43450714898923,-139.32142715211612
6.025595860743564,13.550005572976131,-139.33338429157405
6.165950018614807,13.666035724444402,-139.35618940270686
6.309573444801917,13.782524139191741,-139.3900636932521
6.4565422903465395,13.899396064003312,-139.43520583825372
6.606934480075944,14.016575627067912,-139.4917916433172
6.7608297539198015,14.133986010214976,-139.55997376482054
6.918309709189348,14.251549622581692,-139.63988148695438
7.079457843841362,14.369188275338105,-139.7316205554422
7.244359600749883,14.486823357113787,-139.83527306778956
7.413102413009157,14.604376009781594,-139.9508974199324
7.585775750291819,14.721767304261446,-140.07852830918537
7.762471166286898,14.838918416010285,-140.21817679343127
7.9432823472427945,14.955750799862905,-140.36983040653362
8.128305161640972,15.072186363882302,-140.53345332999
8.31763771102669,15.188147641867856,-140.70898662086773
8.511380382023743,15.303557964155264,-140.89634849607125
8.709635899560784,15.418341626324487,-141.09543467297502
8.912509381337431,15.532424055411198,-141.30611876641296
9.120108393559072,15.645731973194616,-141.5282527419416
9.332543007969884,15.758193556110955,-141.76166742518618
9.549925860214332,15.869738591317182,-142.00617306693258
9.772372209558078,15.98029862840714,-142.26155996344548
9.99999999999997,16.08980712626002,-142.52759913127213
10.23292992280751,16.19819959448295,-142.8040430355319
10.471285480508964,16.305413728894752,-143.09062637040012
10.715193052376032,16.411389540487967,-143.3870668901695
10.964781961431816,16.5160694773024,-143.69306628892224
11.220184543019599,16.619398538645857,-144.00831112647208
11.481536214968791,16.721324381107767,-144.33247379785018
11.748975549395258,16.821797415828613,-144.66521354320997
12.02264434617409,16.92077089651404,-145.00617749463333
12.302687708123775,17.018200997716264,-145.35500175593006
12.58925411794163,17.11404688294745,-145.71131251115062
12.882495516931296,17.208270762239945,-146.07472715718504
13.182567385564026,17.300837938825794,-146.44485545550378
13.489628825916489,17.391716844672324,-146.82130069782065
13.8038426460288,17.480879064681424,-147.2036608802277
14.125375446227492,17.568299349435755,-147.59152988017632
14.454397707459222,17.65395561645476,-147.98449863055748
14.79108388168202,17.737828940006068,-148.3821562850773
15.135612484362026,17.819903529601902,-148.78409136912987
15.488166189124756,17.900166697394134,-149.18989291044045
15.848931924611076,17.97860881476485,-149.59915154388844
16.218100973589237,18.055223258489658,-150.01146058511947
16.595869074375543,18.13000634692758,-150.42641706781754
16.982436524617377,18.202957266763,-150.84362273982427
